#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
CE|24269||HNE|34.956|-118.159|789.0|0.0|90.0|0.0|Kinemetrics_FBA-11|104.448|1.0|M/S**2|200.0|2008-11-19T00:00:00|3000-01-01T00:00:00
CE|24269||HNN|34.956|-118.159|789.0|0.0|360.0|0.0|Kinemetrics_FBA-11|104.52992|1.0|M/S**2|200.0|2008-11-19T00:00:00|3000-01-01T00:00:00
CE|24269||HNZ|34.956|-118.159|789.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|104.28416|1.0|M/S**2|200.0|2008-11-19T00:00:00|3000-01-01T00:00:00
CE|33083||HNE|35.0033|-117.6506|747.0|0.0|90.0|0.0|Kinemetrics_FBA-11|213744.03778|1.0|M/S**2|200.0|2000-01-21T00:00:00|3000-01-01T00:00:00
CE|33083||HNN|35.0033|-117.6506|747.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214415.13366|1.0|M/S**2|200.0|2000-01-21T00:00:00|3000-01-01T00:00:00
CE|33083||HNZ|35.0033|-117.6506|747.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|2000-01-21T00:00:00|3000-01-01T00:00:00
CE|34085||HNE|35.262|-118.6327|635.0|0.0|90.0|0.0|STMicroelectronics_LIS344ALH|437.68285|1.0|M/S**2|200.0|2015-08-24T00:00:00|3000-01-01T00:00:00
CE|34085||HNN|35.262|-118.6327|635.0|0.0|360.0|0.0|STMicroelectronics_LIS344ALH|433.00175|1.0|M/S**2|200.0|2015-08-24T00:00:00|3000-01-01T00:00:00
CE|34085||HNZ|35.262|-118.6327|635.0|0.0|0.0|-90.0|STMicroelectronics_LIS344ALH|447.04505|1.0|M/S**2|200.0|2013-10-25T00:00:00|3000-01-01T00:00:00
CE|34093||HNE|35.0697|-118.1759|865.0|0.0|90.0|0.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|2007-06-25T00:00:00|3000-01-01T00:00:00
CE|34093||HNN|35.0697|-118.1759|865.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|2007-06-25T00:00:00|3000-01-01T00:00:00
CE|34093||HNZ|35.0697|-118.1759|865.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|2007-06-25T00:00:00|3000-01-01T00:00:00
CE|34095||HNE|35.2253|-118.5666|769.0|0.0|90.0|0.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|2007-03-01T00:00:00|3000-01-01T00:00:00
CE|34095||HNN|35.2253|-118.5666|769.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|2007-03-01T00:00:00|3000-01-01T00:00:00
CE|34095||HNZ|35.2253|-118.5666|769.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|213744.03778|1.0|M/S**2|200.0|2007-03-01T00:00:00|3000-01-01T00:00:00
CE|34237||HNE|35.0418|-118.3779|1333.0|0.0|90.0|0.0|STMicroelectronics_LIS344ALH|430.6612|1.0|M/S**2|200.0|2018-03-20T00:00:00|3000-01-01T00:00:00
CE|34237||HNN|35.0418|-118.3779|1333.0|0.0|360.0|0.0|STMicroelectronics_LIS344ALH|437.68285|1.0|M/S**2|200.0|2018-03-20T00:00:00|3000-01-01T00:00:00
CE|34237||HNZ|35.0418|-118.3779|1333.0|0.0|0.0|-90.0|STMicroelectronics_LIS344ALH|449.3856|1.0|M/S**2|200.0|2018-03-20T00:00:00|3000-01-01T00:00:00
CE|34349||HNE|35.6156|-118.4784|754.0|0.0|90.0|0.0|Kinemetrics_FBA-11|214750.6816|1.0|M/S**2|200.0|2005-07-19T00:00:00|3000-01-01T00:00:00
CE|34349||HNN|35.6156|-118.4784|754.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214750.6816|1.0|M/S**2|200.0|2005-07-19T00:00:00|3000-01-01T00:00:00
CE|34349||HNZ|35.6156|-118.4784|754.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|215086.22954|1.0|M/S**2|200.0|2005-07-19T00:00:00|3000-01-01T00:00:00
CE|34487||HNE|35.1237|-118.4498|1225.0|0.0|90.0|0.0|STMicroelectronics_LIS344ALH|437.68285|1.0|M/S**2|200.0|2018-03-20T00:00:00|3000-01-01T00:00:00
CE|34487||HNN|35.1237|-118.4498|1225.0|0.0|360.0|0.0|STMicroelectronics_LIS344ALH|444.7045|1.0|M/S**2|200.0|2018-03-20T00:00:00|3000-01-01T00:00:00
